Shipment ID,Site ID,Product ID,Shipment Date,Quantity,Delivery Status,Transportation Type
SHP90000,7EEQ,PRD10038,2024-07-15,76,Cancelled,Rail
SHP90001,NY20,PRD10050,2024-08-30,92,Delivered,Rail
SHP90002,0L72,PRD10049,2024-05-28,40,Delayed,Truck
SHP90003,58KX,PRD10001,2024-10-02,50,Delivered,Ship
SHP90004,4ZKL,PRD10053,2024-10-05,79,Cancelled,Rail
SHP90005,XDP5,PRD10060,2024-05-08,12,Cancelled,Truck
SHP90006,JI0Y,PRD10033,2024-07-20,15,Delivered,Ship
SHP90007,I3QK,PRD10036,2025-02-16,74,Delivered,Ship
SHP90008,KJLT,PRD10051,2024-05-13,91,Cancelled,Rail
SHP90009,GDPP,PRD10010,2024-09-06,20,Cancelled,Rail
SHP90010,FFYV,PRD10068,2024-09-15,60,Cancelled,Truck
SHP90011,P5TB,PRD10089,2024-11-10,40,Delivered,Rail
SHP90012,MYZY,PRD10055,2024-05-30,68,Cancelled,Truck
SHP90013,P5TB,PRD10085,2025-03-03,32,Delivered,Truck
SHP90014,OTOH,PRD10017,2025-03-26,11,Delivered,Ship
SHP90015,8CGV,PRD10066,2024-12-21,43,Delivered,Air
SHP90016,0T0P,PRD10095,2024-08-16,25,Delivered,Air
SHP90017,FKHM,PRD10034,2024-12-25,18,In Transit,Truck
SHP90018,0L72,PRD10058,2024-12-18,56,Delivered,Ship
SHP90019,4ZKL,PRD10021,2024-10-06,30,Delayed,Truck
SHP90020,4ZKL,PRD10086,2024-05-30,39,Cancelled,Truck
SHP90021,PKH1,PRD10001,2024-08-04,15,Delayed,Air
SHP90022,EXQ7,PRD10019,2024-07-01,14,Cancelled,Ship
SHP90023,SV87,PRD10041,2024-08-06,63,Cancelled,Air
SHP90024,GDPP,PRD10009,2025-01-18,57,Delivered,Truck
SHP90025,5JSG,PRD10028,2024-12-21,15,Delayed,Truck
SHP90026,T4UF,PRD10036,2024-09-07,51,Delivered,Ship
SHP90027,JI0Y,PRD10047,2024-07-12,47,Cancelled,Air
SHP90028,NY20,PRD10079,2024-08-03,69,Delayed,Ship
SHP90029,M5K8,PRD10099,2024-07-10,79,Delivered,Rail
SHP90030,JI0Y,PRD10052,2024-04-13,39,Cancelled,Air
SHP90031,W1Q5,PRD10088,2024-04-05,52,Delivered,Ship
SHP90032,NY20,PRD10093,2024-09-05,23,Delivered,Rail
SHP90033,93TY,PRD10062,2024-05-01,28,Cancelled,Air
SHP90034,MYZY,PRD10005,2024-07-28,76,Delayed,Air
SHP90035,T4UF,PRD10095,2024-05-14,84,Delivered,Rail
SHP90036,W1Q5,PRD10050,2024-05-09,85,Cancelled,Truck
SHP90037,FKHM,PRD10084,2024-06-06,40,Delayed,Air
SHP90038,HOCN,PRD10050,2025-03-25,51,Delayed,Ship
SHP90039,GDPP,PRD10029,2024-05-09,35,Delivered,Truck
SHP90040,FFYV,PRD10013,2024-06-24,67,Delayed,Air
SHP90041,93TY,PRD10015,2024-12-31,55,Delivered,Ship
SHP90042,P5TB,PRD10059,2024-08-14,25,Delivered,Rail
SHP90043,0RJI,PRD10038,2025-03-27,99,Cancelled,Truck
SHP90044,IUC0,PRD10041,2024-06-15,21,Cancelled,Rail
SHP90045,8CGV,PRD10050,2024-12-19,16,Cancelled,Air
SHP90046,4CIY,PRD10022,2024-04-16,61,Delayed,Rail
SHP90047,J7YH,PRD10059,2024-05-23,27,Delivered,Truck
SHP90048,30T9,PRD10099,2024-07-23,26,Delivered,Ship
SHP90049,CXUL,PRD10087,2025-02-17,92,Delivered,Air
SHP90050,CX19,PRD10002,2024-05-04,35,Cancelled,Ship
SHP90051,0T0P,PRD10011,2024-09-17,25,Delivered,Ship
SHP90052,30T9,PRD10021,2025-01-19,65,Cancelled,Ship
SHP90053,0L72,PRD10003,2024-10-13,97,Delayed,Rail
SHP90054,8CGV,PRD10027,2024-07-05,45,Delayed,Ship
SHP90055,FFYV,PRD10004,2025-02-09,89,Cancelled,Rail
SHP90056,A11D,PRD10037,2024-12-12,62,Cancelled,Ship
SHP90057,30T9,PRD10011,2024-08-22,59,Delivered,Ship
SHP90058,T2TA,PRD10082,2024-12-26,41,Cancelled,Truck
SHP90059,EXQ7,PRD10091,2024-10-01,71,Cancelled,Ship
SHP90060,8CGV,PRD10072,2024-12-14,51,Delayed,Air
SHP90061,5JSG,PRD10003,2024-09-11,86,Delivered,Truck
SHP90062,M5K8,PRD10035,2024-04-30,70,Cancelled,Air
SHP90063,M5K8,PRD10074,2024-07-29,30,Delivered,Rail
SHP90064,7EEQ,PRD10030,2024-08-15,78,Cancelled,Truck
SHP90065,XDP5,PRD10028,2025-01-20,59,Delayed,Rail
SHP90066,5JSG,PRD10030,2025-01-29,50,Cancelled,Air
SHP90067,P7Y6,PRD10003,2025-03-27,99,Delayed,Rail
SHP90068,4ZKL,PRD10024,2024-12-09,79,Delayed,Rail
SHP90069,0L72,PRD10004,2024-05-17,17,Delivered,Rail
SHP90070,VUZZ,PRD10067,2024-12-01,10,Delayed,Rail
SHP90071,0T0P,PRD10043,2024-06-30,51,Delivered,Truck
SHP90072,FFYV,PRD10075,2025-03-27,28,Delivered,Air
SHP90073,CX19,PRD10047,2025-03-27,94,Delayed,Truck
SHP90074,GHC0,PRD10038,2024-09-13,27,Delivered,Ship
SHP90075,W1Q5,PRD10062,2025-02-27,50,Delivered,Air
SHP90076,SV87,PRD10085,2025-01-27,32,Delayed,Air
SHP90077,AM14,PRD10088,2024-08-29,26,In Transit,Truck
SHP90078,KJLT,PRD10073,2024-10-18,82,Delivered,Rail
SHP90079,2VLP,PRD10040,2025-02-08,38,Cancelled,Truck
SHP90080,0L72,PRD10018,2024-09-17,19,Delivered,Air
SHP90081,HOCN,PRD10021,2025-02-20,21,Cancelled,Air
SHP90082,A1WJ,PRD10001,2024-08-14,36,Delivered,Truck
SHP90083,8CGV,PRD10032,2024-05-26,10,Delivered,Ship
SHP90084,A1WJ,PRD10093,2024-11-01,31,Delayed,Ship
SHP90085,EXQ7,PRD10044,2025-01-05,58,Delivered,Ship
SHP90086,4ZKL,PRD10083,2025-03-18,38,Delivered,Ship
SHP90087,CX19,PRD10004,2024-08-29,12,Delayed,Air
SHP90088,J7YH,PRD10009,2024-09-23,31,Delayed,Rail
SHP90089,AM14,PRD10009,2025-01-06,21,Delayed,Ship
SHP90090,OTOH,PRD10003,2024-11-07,93,In Transit,Ship
SHP90091,ZYTJ,PRD10006,2024-05-22,52,Delivered,Rail
SHP90092,93TY,PRD10089,2025-01-09,79,Delayed,Air
SHP90093,P5TB,PRD10030,2024-05-20,16,Delayed,Ship
SHP90094,FFYV,PRD10006,2024-10-02,10,Delayed,Truck
SHP90095,M5IG,PRD10084,2025-02-15,86,Delayed,Rail
SHP90096,J7YH,PRD10003,2024-07-15,31,Cancelled,Air
SHP90097,MYZY,PRD10060,2024-05-30,49,Delayed,Ship
SHP90098,0L72,PRD10084,2024-08-14,21,Cancelled,Ship
SHP90099,5JSG,PRD10047,2024-10-13,57,Delivered,Ship
